"from","to","arrow.size","from.x","from.y","to.x","to.y"
"Abrolhos","Jardim Botânico do Rio de Janeiro",0.1,1.29529110791456,1.18353225042023,1.36778259033258,2.70317283664826
"Abrolhos","INPE",0.1,1.29529110791456,1.18353225042023,-1.41382552214174,0.102114377664425
"Abrolhos","UFPE",0.1,1.29529110791456,1.18353225042023,3.85120236966126,2.23124278584543
"Abrolhos","UFSB",0.1,1.29529110791456,1.18353225042023,2.72305922022865,1.19464104640567
"Abrolhos","UFRGS",0.1,1.29529110791456,1.18353225042023,2.86054487109442,-1.24746972953808
"Abrolhos","UFF",0.1,1.29529110791456,1.18353225042023,-2.14914480358013,1.00329070880367
"Abrolhos","ICMBio",0.1,1.29529110791456,1.18353225042023,3.29860050626674,3.1996421080951
"CCAL","UFPE",0.1,5.54757113993684,3.45518926295189,3.85120236966126,2.23124278584543
"CCAL","ICMBio",0.1,5.54757113993684,3.45518926295189,3.29860050626674,3.1996421080951
"CCAL","ONG Biota",0.1,5.54757113993684,3.45518926295189,7.58847150910828,4.25981279744896
"ELPA","University of South Carolina/USA",0.1,8.36498722500853,-8.43065465229921,9.66526961788602,-9.91902403108389
"ELPA","FURG",0.1,8.36498722500853,-8.43065465229921,6.51560543075344,-6.32383909730016
"HCES","UFF",0.1,-2.54939927959953,3.38425369362207,-2.14914480358013,1.00329070880367
"HCES","USP",0.1,-2.54939927959953,3.38425369362207,0.100948205016044,0.628319169499503
"HCES","UNISUL",0.1,-2.54939927959953,3.38425369362207,-3.72671500722867,5.57727471729786
"HCES","UFPR",0.1,-2.54939927959953,3.38425369362207,-3.43324282515064,2.87060761767103
"HCES","UFSC",0.1,-2.54939927959953,3.38425369362207,-4.11223845229324,3.00567681435644
"HCES","UFBA",0.1,-2.54939927959953,3.38425369362207,-4.40488241020507,4.90679168047882
"HCES","Oregon State University",0.1,-2.54939927959953,3.38425369362207,-2.764565254335,5.57372783062057
"ILOC","INPE",0.1,-3.02272216375539,1.2349164256889,-1.41382552214174,0.102114377664425
"ILOC","UFF",0.1,-3.02272216375539,1.2349164256889,-2.14914480358013,1.00329070880367
"ILOC","USP",0.1,-3.02272216375539,1.2349164256889,0.100948205016044,0.628319169499503
"ILOC","UFPR",0.1,-3.02272216375539,1.2349164256889,-3.43324282515064,2.87060761767103
"ILOC","UFSC",0.1,-3.02272216375539,1.2349164256889,-4.11223845229324,3.00567681435644
"ILOC","UFRJ",0.1,-3.02272216375539,1.2349164256889,-3.52698430955864,-0.270750547373709
"ILOC","UFRN",0.1,-3.02272216375539,1.2349164256889,-4.37174655811213,-0.158337436207672
"ILOC","UFSM",0.1,-3.02272216375539,1.2349164256889,-5.32107715590525,2.03780120053235
"PEBG","INPE",0.1,-3.51403454070347,-1.32856059984412,-1.41382552214174,0.102114377664425
"PEBG","UFF",0.1,-3.51403454070347,-1.32856059984412,-2.14914480358013,1.00329070880367
"PEBG","USP",0.1,-3.51403454070347,-1.32856059984412,0.100948205016044,0.628319169499503
"PEBG","UFRJ",0.1,-3.51403454070347,-1.32856059984412,-3.52698430955864,-0.270750547373709
"PEBG","UFRN",0.1,-3.51403454070347,-1.32856059984412,-4.37174655811213,-0.158337436207672
"PEBG","UERJ",0.1,-3.51403454070347,-1.32856059984412,-5.05661239199693,-3.12547156528225
"PEBG","UNIRIO",0.1,-3.51403454070347,-1.32856059984412,-5.55294262793335,-0.619724016397323
"PEBG","UFRRJ",0.1,-3.51403454070347,-1.32856059984412,-5.86160907694105,-1.88651122254777
"PEBG","Laboratório Nacional de Computação Científica",0.1,-3.51403454070347,-1.32856059984412,-5.71397980302036,-2.69122766167833
"PEBG","University of Southern California",0.1,-3.51403454070347,-1.32856059984412,-4.37094923320113,-3.51663170410132
"PEBG","PUC-Rio",0.1,-3.51403454070347,-1.32856059984412,-3.49664865631388,-3.43249757925929
"RECA","UFF",0.1,-4.6524354632744,0.689307862854294,-2.14914480358013,1.00329070880367
"RECA","UNIRIO",0.1,-4.6524354632744,0.689307862854294,-5.55294262793335,-0.619724016397323
"RLaC","UFRGS",0.1,4.1107196818346,-3.57131270367673,2.86054487109442,-1.24746972953808
"RLaC","FURG",0.1,4.1107196818346,-3.57131270367673,6.51560543075344,-6.32383909730016
